Pearson Correlation Analysis
============================================================

Dataset: en-es
AskQE Metric: sbert (pipeline: vanilla)
Standard Metric: xcomet

Results:
  Pearson correlation: 0.2746
  P-value: 1.5641e-18
  Number of samples: 987

Common keys (987):
  287. PubMed_9:847_alteration (AskQE: 0.7697, Standard: 0.6500)
  288. PubMed_9:847_synonym (AskQE: 0.8222, Standard: 0.7470)
  289. PubMed_9:849_synonym (AskQE: 1.0000, Standard: 0.9190)
  290. PubMed_9:850_alteration (AskQE: 0.8944, Standard: 0.7330)
  291. PubMed_9:850_synonym (AskQE: 0.8101, Standard: 0.7870)
  292. PubMed_9:853_synonym (AskQE: 0.8531, Standard: 0.8310)
  293. PubMed_9:854_alteration (AskQE: 0.8302, Standard: 0.5490)
  294. PubMed_9:854_synonym (AskQE: 0.9382, Standard: 0.7250)
  295. Wikinews_2:1100_alteration (AskQE: 0.7259, Standard: 0.7230)
  296. Wikinews_2:1100_synonym (AskQE: 0.9793, Standard: 0.7620)
  297. Wikinews_2:1104_alteration (AskQE: 0.5423, Standard: 0.7240)
  298. Wikinews_2:1104_synonym (AskQE: 0.9314, Standard: 0.7130)
  299. Wikinews_2:1105_alteration (AskQE: 1.0000, Standard: 0.8040)
  300. Wikinews_2:1105_synonym (AskQE: 1.0000, Standard: 0.7260)
  301. Wikinews_5:1148_alteration (AskQE: 0.6674, Standard: 0.7850)
  302. Wikinews_5:1148_synonym (AskQE: 0.8126, Standard: 0.7980)
  303. Wikinews_5:1151_alteration (AskQE: 0.8313, Standard: 0.7740)
  304. Wikinews_5:1151_synonym (AskQE: 0.9433, Standard: 0.8190)
  305. Wikipedia_handpicked_5:1860_alteration (AskQE: 0.7781, Standard: 0.7960)
  306. Wikipedia_handpicked_5:1860_synonym (AskQE: 0.4241, Standard: 0.8610)
  307. Wikipedia_handpicked_5:1861_alteration (AskQE: 0.9817, Standard: 0.6630)
  308. Wikipedia_handpicked_5:1861_synonym (AskQE: 0.9067, Standard: 0.8070)
  309. Wikipedia_handpicked_5:1864_alteration (AskQE: 0.6418, Standard: 0.7260)
  310. Wikipedia_handpicked_5:1864_synonym (AskQE: 0.8954, Standard: 0.7640)
  311. Wikipedia_handpicked_5:1865_alteration (AskQE: 0.9405, Standard: 0.7210)
  312. Wikipedia_handpicked_5:1865_synonym (AskQE: 0.5992, Standard: 0.7680)
  313. Wikipedia_handpicked_5:1866_alteration (AskQE: 0.5845, Standard: 0.6110)
  314. Wikipedia_handpicked_5:1866_synonym (AskQE: 0.9970, Standard: 0.7320)
  315. Wikipedia_handpicked_5:1867_alteration (AskQE: 0.6388, Standard: 0.6510)
  316. Wikipedia_handpicked_5:1867_synonym (AskQE: 0.6275, Standard: 0.7060)
  317. Wikipedia_handpicked_5:1869_alteration (AskQE: 0.7208, Standard: 0.7930)
  318. Wikipedia_handpicked_5:1869_synonym (AskQE: 0.9331, Standard: 0.8000)
  319. Wikipedia_handpicked_5:1870_alteration (AskQE: 0.8138, Standard: 0.7650)
